,noteId
1927,1361432099186688007
1928,1358474119982026752
1929,1394781706213855232
1930,1362825165256724480
1931,1368789924368027648
1932,1356392551499108352
1933,1376630961618751488
1934,1378073485474467840
1935,1392558792840253440
1936,1398258856002785280
1937,1372981049890902016
1938,1382107067096383496
1939,1403738287387250694
1940,1405583149799772161
1941,1357712883669471233
1942,1357741281422807041
1943,1375230106461999105
1944,1357096246155087873
1945,1400483234329333761
1946,1402486624542461953
1947,1354863143776882689
1948,1405614580840206337
1949,1394374210655555585
1950,1392643107309686786
1951,1361839419125338114
1952,1370137183869407234
1953,1399168220368670722
1954,1361700401167405058
1955,1367013921299828738
1956,1355283946213421186
1957,1400227272364331010
1958,1371811721799680003
1959,1407857914367381507
1960,1407441561948983299
1961,1381957852554792964
1962,1381983775970758660
1963,1380269946882691076
1964,1405032815608139780
1965,1362819630084067333
1966,1409581278182182918
1967,1355588127310680070
1968,1376934443370352646
1969,1355674342840012806
1970,1362481340072005639
1971,1372412053328171015
1972,1362801294768017415
1973,1381733680058667015
1974,1359852134704025607
1975,1394799905634455559
1976,1394857508662087687
1977,1354855105779142664
1978,1405184272093351944
1979,1365277168427798537
1980,1356447936868089857
1981,1377684609626898433
1982,1385991630428143617
1983,1395138164495319041
1984,1375219421912858626
1985,1384199160513974272
1986,1409990776583376896
1987,1355408878372933632
1988,1386081901371215872
1989,1375273474202030080
1990,1406596263613714434
1991,1388169068310450177
1992,1377500262307221505
1993,1375234486267301889
1994,1355679793098805249
1995,1379329082500861954
1996,1383194332144881666
1997,1407377417262354434
1998,1375960852847677442
1999,1376215004349747202
2000,1364997240624795650
2001,1390746617905434627
2002,1360641368645718019
2003,1383419567309869060
2004,1393026252978671616
2005,1390271100479754240
2006,1399772227952857088
2007,1396920069087711232
2008,1409719601991143424
2009,1407873656689152000
2010,1405726937713102849
2011,1407674962039689217
2012,1375465704435109889
2013,1388579820842405889
2014,1371807288906895361
2015,1393380762028756993
2016,1375151667834933250
2017,1388673672118947842
2018,1389431429130428416
2019,1409640391343677440
2020,1358859878022848512
2021,1405530588778405888
2022,1376314353054457856
2023,1397602727086071808
2024,1404627475938746368
2025,1405395134972239872
2026,1391927642547363840
2027,1371267520024354816
2028,1390466654870589443
2029,1408436916584861699
2030,1408268741528330241
2031,1387010871830847489
2032,1408212693622870019
2033,1375229567896461313
2034,1400243115005386753
2035,1387020886763524100
2036,1396968230300831748
2037,1384873300799594498
2038,1361839031235923968
2039,1358873996335271936
2040,1384236182658109440
2041,1387406561710985216
